Order_Date,Product,Region,Salesperson,Quantity,Price_per_Unit,Sales,Target
2025-04-25,Tablet,North,Arjun,6,11171,67026,44644
2025-03-03,Headphones,East,Rohit,2,14317,28634,4069
2025-06-12,Printer,East,Rohit,4,43336,173344,195631
2025-02-22,Monitor,West,Sneha,9,8120,73080,24261
2025-01-13,Printer,South,Arjun,5,48261,241305,130021
2025-03-09,Headphones,South,Priya,9,13172,118548,82465
2025-05-07,Keyboard,East,Sneha,7,16397,114779,71294
2025-01-29,Laptop,East,Karan,8,28986,231888,66896
2025-05-01,Laptop,West,Rohit,5,17759,88795,60426
2025-05-20,Monitor,West,Sneha,8,40930,327440,46596
2025-06-28,Mouse,North,Neha,7,41296,289072,70503
2025-06-17,Keyboard,North,Amit,10,24825,248250,48563
2025-01-11,Mouse,South,Priya,2,25333,50666,41876
2025-06-08,Laptop,North,Karan,5,6872,34360,196960
2025-06-07,Printer,West,Arjun,7,49373,345611,34387
2025-05-22,Monitor,North,Sneha,1,18153,18153,102440
2025-04-18,Monitor,South,Amit,6,16873,101238,17940
2025-01-31,Laptop,East,Sneha,4,46493,185972,180015
2025-04-30,Monitor,North,Karan,10,904,9040,122808
2025-04-18,Printer,East,Karan,4,7716,30864,59766
2025-01-31,Monitor,North,Priya,7,29957,209699,108985
2025-05-25,Laptop,North,Priya,8,44950,359600,6261
2025-02-16,Laptop,South,Rohit,2,36815,73630,179840
2025-03-31,Headphones,South,Arjun,10,38516,385160,38820
2025-06-23,Printer,East,Neha,7,10514,73598,128472
2025-01-29,Tablet,South,Arjun,4,44327,177308,40611
2025-06-06,Keyboard,West,Vikram,3,22057,66171,157598
2025-06-07,Keyboard,West,Karan,6,14853,89118,51595
2025-06-06,Monitor,West,Vikram,8,23501,188008,199498
2025-02-04,Monitor,North,Vikram,5,18014,90070,145752
2025-01-05,Printer,East,Arjun,6,34650,207900,6784
2025-04-09,Laptop,West,Rohit,2,13311,26622,84979
2025-05-21,Laptop,South,Karan,3,47352,142056,141453
2025-05-12,Printer,East,Rohit,7,21065,147455,132732
2025-03-01,Laptop,North,Rohit,5,33132,165660,58490
2025-04-22,Headphones,East,Vikram,8,1636,13088,101986
2025-04-28,Tablet,East,Priya,7,36357,254499,143453
2025-06-19,Tablet,West,Karan,6,36400,218400,31305
2025-02-21,Monitor,North,Neha,9,18761,168849,25297
2025-05-02,Keyboard,North,Vikram,8,19247,153976,139853
2025-06-29,Mouse,East,Priya,6,35378,212268,75301
2025-02-27,Monitor,West,Rohit,1,40883,40883,162757
2025-03-24,Tablet,North,Amit,5,29125,145625,104237
2025-05-29,Tablet,South,Neha,5,30377,151885,136450
2025-06-18,Monitor,West,Amit,10,49525,495250,150987
2025-01-26,Printer,West,Karan,7,27799,194593,58511
2025-04-06,Keyboard,South,Priya,2,28777,57554,183665
2025-04-11,Printer,East,Priya,9,1734,15606,189307
2025-03-13,Printer,North,Rohit,10,45389,453890,50681
2025-03-02,Headphones,East,Sneha,8,39919,319352,149912
2025-06-09,Headphones,South,Karan,5,33146,165730,106701
2025-01-10,Printer,South,Priya,7,2425,16975,29995
2025-02-13,Printer,West,Sneha,7,29091,203637,141601
